"","not_paid","verified","purpose","installment","int_rate","home_ownership","grdCtoA","annual_inc"
"1",0,1,"debt_consolidation",675.99,14.08,"MORTGAGE",0,156700
"2",1,0,"debt_consolidation",480.08,9.44,"RENT",1,50000
"3",1,1,"debt_consolidation",1010.3,28.72,"OWN",0,25000
"4",1,0,"debt_consolidation",484.19,13.59,"MORTGAGE",0,175000
"5",0,0,"major_purchase",476.33,15.05,"MORTGAGE",0,109992
"6",1,0,"debt_consolidation",130.79,10.91,"MORTGAGE",1,49000
"7",0,0,"credit_card",333.43,15.05,"RENT",0,65000
"8",1,0,"credit_card",915.5,10.91,"RENT",1,95000
"9",1,1,"home_improvement",713.96,17.09,"MORTGAGE",0,150000
"10",0,1,"debt_consolidation",408.73,18.06,"RENT",0,85000
"11",1,1,"debt_consolidation",642.47,29.69,"MORTGAGE",0,62540
"12",0,1,"debt_consolidation",451.19,12.62,"MORTGAGE",0,95000
"13",0,1,"credit_card",86.73,15.05,"RENT",0,32400
"14",1,1,"small_business",344.85,26.3,"RENT",0,60000
"15",1,1,"credit_card",211.03,10.42,"RENT",1,52000
"16",1,1,"debt_consolidation",444.82,14.08,"RENT",0,70000
"17",1,1,"debt_consolidation",225.6,12.62,"RENT",0,15000
"18",1,0,"debt_consolidation",571.38,10.42,"MORTGAGE",1,186000
"19",0,1,"home_improvement",672.11,9.44,"MORTGAGE",1,65000
"20",0,0,"debt_consolidation",145.7,15.05,"MORTGAGE",0,125000
"21",1,1,"debt_consolidation",436.36,7.07,"MORTGAGE",1,48000
"22",1,0,"debt_consolidation",542.89,12.62,"MORTGAGE",0,140000
"23",0,0,"debt_consolidation",295.64,7.35,"MORTGAGE",1,53000
"24",1,1,"debt_consolidation",371.38,21.45,"MORTGAGE",0,35000
"25",1,1,"small_business",643.12,25.82,"MORTGAGE",0,80000
"26",1,1,"debt_consolidation",578.93,18.06,"RENT",0,40000
"27",0,0,"debt_consolidation",326.97,10.91,"RENT",1,30000
"28",1,0,"debt_consolidation",148.66,20,"MORTGAGE",0,68000
"29",0,0,"credit_card",270.77,9.93,"RENT",1,35000
"30",0,1,"home_improvement",318.19,9.93,"MORTGAGE",1,56000
"31",0,1,"credit_card",357.25,15.05,"MORTGAGE",0,80000
"32",1,1,"small_business",111.5,20,"RENT",0,30000
"33",1,1,"debt_consolidation",393.79,30.75,"OWN",0,120000
"34",1,0,"debt_consolidation",789.3,28.72,"MORTGAGE",0,75000
"35",0,0,"debt_consolidation",322.48,11.99,"MORTGAGE",1,102000
